Date;Close
24/05/2023;23965
25/05/2023;24607
26/05/2023;24846
30/05/2023;25561
31/05/2023;25454
01/06/2023;25437
02/06/2023;25651
05/06/2023;25565
06/06/2023;25618
07/06/2023;25650
08/06/2023;25817
09/06/2023;26502
12/06/2023;25901
13/06/2023;26065
14/06/2023;26762
15/06/2023;27225
16/06/2023;26951
19/06/2023;26900
20/06/2023;26847
21/06/2023;27311
22/06/2023;27079
23/06/2023;26476
26/06/2023;25635
27/06/2023;26283
28/06/2023;26047
29/06/2023;26098
30/06/2023;26787
03/07/2023;27377
04/07/2023;27320
05/07/2023;27633
06/07/2023;28530
07/07/2023;28342
10/07/2023;27950
11/07/2023;27956
12/07/2023;29069
13/07/2023;28809
14/07/2023;28543
17/07/2023;28363
18/07/2023;28540
19/07/2023;28114
20/07/2023;28715
21/07/2023;28494
24/07/2023;28601
25/07/2023;28899
26/07/2023;29010
27/07/2023;28680
28/07/2023;28740
31/07/2023;28637
01/08/2023;27724
02/08/2023;27418
03/08/2023;28023
04/08/2023;27700
07/08/2023;27756
08/08/2023;27300
09/08/2023;27259
10/08/2023;26885
11/08/2023;26457
14/08/2023;25325
15/08/2023;25186
16/08/2023;25066
17/08/2023;25305
18/08/2023;25260
21/08/2023;25702
22/08/2023;26112
23/08/2023;26125
24/08/2023;25870
25/08/2023;25497
29/08/2023;25395
30/08/2023;25475
31/08/2023;25396
01/09/2023;25806
04/09/2023;26372
05/09/2023;26445
06/09/2023;26270
07/09/2023;26085
08/09/2023;25573
11/09/2023;25803
12/09/2023;25524
13/09/2023;25688
14/09/2023;25895
15/09/2023;25703
18/09/2023;26183
19/09/2023;26106
20/09/2023;26132
21/09/2023;25613
22/09/2023;26251
25/09/2023;25888
26/09/2023;26012
27/09/2023;25650
28/09/2023;25324
29/09/2023;23944
02/10/2023;23496
03/10/2023;23854
04/10/2023;23926
05/10/2023;24139
06/10/2023;24644
09/10/2023;25140
10/10/2023;24714
11/10/2023;24919
12/10/2023;24812
13/10/2023;25087
16/10/2023;25242
17/10/2023;25370
18/10/2023;25548
19/10/2023;25205
20/10/2023;24985
23/10/2023;24890
24/10/2023;25091
25/10/2023;25211
26/10/2023;24801
27/10/2023;24902
30/10/2023;25014
31/10/2023;24079
01/11/2023;23908
02/11/2023;23962
03/11/2023;24356
06/11/2023;24665
07/11/2023;24559
08/11/2023;24892
09/11/2023;24839
10/11/2023;24603
13/11/2023;24923
14/11/2023;25206
15/11/2023;25326
16/11/2023;25193
17/11/2023;24852
20/11/2023;24878
21/11/2023;24991
22/11/2023;24663
23/11/2023;24476
24/11/2023;23884
27/11/2023;22979
28/11/2023;23322
29/11/2023;23501
30/11/2023;23246
01/12/2023;23748
04/12/2023;24064
05/12/2023;23991
06/12/2023;24585
07/12/2023;24675
08/12/2023;24567
11/12/2023;24359
12/12/2023;24580
13/12/2023;24690
14/12/2023;25367
15/12/2023;25175
18/12/2023;24820
19/12/2023;25137
20/12/2023;25203
21/12/2023;25153
22/12/2023;24866
27/12/2023;25644
28/12/2023;25680
29/12/2023;25415
